Molecule                                                     Hf_0k           Hf_298k         Hf_liquid       Hf_solid       
C1[C@H]([C@H]1c2ccccc2)c3ccccc3                               284.7804        245.0015        159.8987        142.7326      
CC(=C)C=O                                                    -90.7817        -107.1038       -139.3038       -156.2962      
CC(C)(C)CC(=O)C(C)(C)C                                       -335.1332       -394.2256       -443.0156       -459.8324      
CC(CCO)CC(C)(C)C                                             -334.9795       -395.5487       -463.4487       -477.1341      
CC(O)CCO                                                     -417.8189       -450.7535       -522.7235       -542.3608      
CC1CCCCN1                                                    -35.3323        -84.1436        -124.5936       -144.2022      
CCCCCCCCCCCCCCCC                                             -271.5528       -372.9029       -454.2029       -508.0029      
CCc1ccc(cc1N=C=O)N=C=O                                       -96.1450        -116.4127       -177.5127       -228.2080      
COc1ccc(C=O)cc1                                              -138.0572       -177.1615       -237.5615       -256.1687      
N#CSc1ccccc1                                                  287.4669        275.3936        224.3023        186.8769      
o1cccc1                                                      -26.6084        -46.4512        -74.2912        -101.0212      
