Smiles                                                       G4_Cv      Exp_Cv     Dev       
BrC#N                                                        38.05      38.69      -0.64     
BrC(Br)Br                                                    63.25      62.80      0.45      
BrC(Br)C(Br)Br                                               102.68     99.30      3.38      
BrC=C                                                        46.56      47.20      -0.64     
BrCBr                                                        46.40      46.90      -0.50     
BrCC=C                                                       69.47      69.30      0.17      
BrCCBr                                                       70.08      78.20      -8.12     
C                                                            27.06      27.40      -0.34     
C#C                                                          37.41      35.70      1.71      
C#CC#C                                                       64.94      65.40      -0.46     
C#CC#N                                                       54.94      56.30      -1.36     
C#CC=O                                                       55.44      55.29      0.15      
C#N                                                          26.27      27.60      -1.33     
C/1=C/C=C\C=C/C=C1                                           112.05     114.80     -2.75     
C/C=C(/C)C(C)(C)C                                            169.96     165.69     4.27      
C/C=C(/C)C(C)C                                               146.18     143.30     2.88      
C/C=C(/C)C=C                                                 114.08     116.40     -2.32     
C/C=C/C#C                                                    86.70      94.20      -7.50     
C/C=C/C#N                                                    77.47      76.69      0.78      
C/C=C/C(C)(C)C                                               146.82     142.69     4.14      
C/C=C/C(C)=C                                                 113.51     116.80     -3.29     
C/C=C/C(C)C                                                  122.75     130.00     -7.25     
C/C=C/C(O)=O                                                 95.97      95.30      0.67      
C/C=C/C=C                                                    91.03      94.10      -3.07     
C/C=C/C=O                                                    82.50      85.70      -3.20     
C/C=C/CO                                                     94.27      91.50      2.77      
C/C=C/Cl                                                     68.18      63.80      4.38      
C/C=C/F                                                      64.32      60.10      4.22      
C/C=N/O                                                      67.19      64.69      2.51      
C1=C/C=C\C=C/C=C1                                            112.05     114.29     -2.24     
C1=CC=C1                                                     56.11      52.69      3.42      
C1=CCCC=CCC1                                                 124.46     129.99     -5.52     
C1=CCCCC/C=C\1                                               124.10     130.49     -6.39     
C1=CCCCCCC1                                                  130.78     134.59     -3.81     
C1=CCOCC1                                                    84.37      86.29      -1.92     
C1=CCOCOC1                                                   97.16      109.39     -12.22    
C1=CCOOC1                                                    80.31      78.59      1.72      
C1=COC=CO1                                                   73.77      72.99      0.78      
C1=COCCC1                                                    84.13      83.89      0.24      
C1=COCCO1                                                    77.98      77.79      0.19      
C1C=C1                                                       43.20      44.50      -1.30     
C1C=CC=C1                                                    66.10      66.69      -0.59     
C1C=CC=CC=C1                                                 96.59      97.90      -1.31     
C1C=CCC=C1                                                   84.63      86.60      -1.97     
C1CC1                                                        47.07      47.30      -0.23     
C1CC=C1                                                      56.14      56.10      0.04      
C1CC=CC1                                                     72.19      72.80      -0.61     
C1CC=CC=C1                                                   84.86      86.50      -1.64     
C1CC=CC=CC1                                                  104.02     109.40     -5.38     
C1CC=CO1                                                     65.96      67.20      -1.24     
C1CCC1                                                       62.33      62.30      0.03      
