Smiles                                                       TCIT_S0    Exp_S0     Dev       
Brc1cccc(Br)c1                                               392.25     366.00     26.25     
Brc1ccccc1                                                   334.87     325.00     9.87      
Brc1ccccc1Br                                                 342.30     377.00     -34.70    
C#Cc1ccccc1                                                  342.50     323.00     19.50     
C(#Cc1ccccc1)c1ccccc1                                        497.38     452.00     45.38     
C(OCc1ccccc1)c2ccccc2                                        515.48     525.00     -9.52     
C(c1ccccc1)c2ccccc2                                          457.72     439.00     18.72     
C/C=C/C=C/C                                                  364.54     361.00     3.54      
C/C=C/C=C\C                                                  364.54     357.00     7.54      
C/C=C/CC=C                                                   369.48     374.00     -4.52     
C/C=C/c1ccccc1                                               383.92     380.00     3.92      
C1CCC(CC1)c2ccccc2                                           410.71     426.00     -15.29    
C=C1CC(=O)O1                                                 307.92     306.00     1.92      
C=C1CCC1                                                     288.25     298.90     -10.65    
C=CCCC=C                                                     381.94     373.00     8.94      
C=CCNCC=C                                                    413.10     417.00     -3.90     
C=Cc1ccccc1                                                  350.37     345.00     5.37      
CC#CCC(C)C                                                   412.60     401.00     11.60     
CC(=C)c1ccccc1                                               379.98     372.00     7.98      
CC(=O)OCC(COC(C)=O)OC(C)=O                                   667.56     677.00     -9.44     
CC(=O)Oc1ccccc1                                              421.44     430.00     -8.56     
CC(=O)c1ccccc1                                               377.09     385.00     -7.91     
CC(C)(C)SSC(C)(C)C                                           522.35     500.00     22.35     
CC(C)(C)c1ccccc1                                             408.12     396.00     12.12     
CC(C)(C)c1ccccc1O                                            416.43     427.00     -10.57    
CC(C)/C=C/C(C)C                                              442.45     408.00     34.45     
CC(C)CC#CC(C)C                                               488.68     481.00     7.68      
CC(C)CC(=O)CC(C)C                                            503.20     509.00     -5.80     
CC(C)CC(C)C=C                                                434.76     433.00     1.76      
CC(C)CC=C(C)C                                                441.75     417.00     24.75     
CC(C)CCC#C                                                   405.13     396.00     9.13      
CC(C)CCC#N                                                   400.06     392.00     8.06      
CC(C)CCC(C)=C                                                451.95     424.00     27.95     
CC(C)CCC(C)C                                                 459.15     442.00     17.15     
CC(C)CCOC(C)=O                                               485.95     476.00     9.95      
CC(C)CCOCCC(C)C                                              571.58     581.00     -9.42     
CC(C)COC(=O)C(C)C                                            508.90     511.00     -2.10     
CC(C)COC(=O)C=C                                              460.96     475.00     -14.04    
CC(C)COC(C)=O                                                443.91     443.00     0.91      
CC(C)COC=O                                                   398.19     407.00     -8.81     
CC(C)c1ccc(C)c(O)c1                                          449.26     450.00     -0.74     
CC(C)c1ccc(C)cc1                                             428.24     427.00     1.24      
