Molecule                                                     Hf_0k           Hf_298k         Gf_298k         S0_298k         Cv_298k
Br                                                           -32.0797        -33.8625        -50.8389         198.3893        20.7903
BrBr                                                          37.9764         35.2435         9.1736          239.6588        27.6353
BrC#C                                                         273.2998        273.0614        254.1307        216.4239        44.8692
BrC#N                                                         177.7209        177.0298        156.2921        247.2095        38.0493
BrC(Br)(Br)Br                                                 109.6605        104.2775        89.6512         359.2369        83.5711
BrC(Br)Br                                                     57.7570         49.9085         40.1394         332.1755        63.2536
BrC(Br)C(Br)Br                                                48.0037         35.8553         46.4794         410.9665        102.6829
BrC=C                                                         82.3093         73.4643         75.8735         275.5294        46.5637
BrCBr                                                         14.3706         5.1382          3.5296          294.0355        46.3963
BrCC=C                                                        60.4687         45.5063         76.0549         317.5693        69.4662
BrCCBr                                                       -24.1688        -39.2027        -11.9502         333.6547        70.0770
Brc1cccc(Br)c1                                                135.2771        128.1769        144.8036        392.2538        112.6056
Brc1ccccc1                                                    113.7554        98.1373         128.6605        334.8746        91.4881
Brc1ccccc1Br                                                  126.3075        121.4591        152.9788        342.3026        107.2387
C                                                            -66.9176        -74.8480        -50.7093         186.1383        27.0621
C#C                                                           224.6309        225.2692        208.6842        197.7864        37.4091
C#CC#C                                                        457.8514        459.3724        432.8621        242.5559        64.9388
C#CC#CC#C                                                     706.6306        710.8642        674.0191        288.6991        94.4862
C#CC#CC#CC#C                                                  955.4097        962.3560        915.1761        334.8423        124.0336
C#CC#CC#CC#CC#C                                               1204.1889       1213.8479       1156.3331       380.9855        153.5809
C#CC#CC#CC#CC#CC#C                                            1452.9681       1465.3397       1397.4901       427.1287        183.1283
C#CC#N                                                        370.7292        372.0627        351.0457        248.8562        54.9391
C#CC=O                                                        133.1671        130.9863        123.8197        274.5168        55.4370
C#CCCC#C                                                      425.4957        414.3672        436.8365        351.1175        103.6285
C#Cc1ccccc1                                                   317.4342        312.0247        340.4864        342.4992        105.9816
C#N                                                           128.6844        128.1690        117.9858        201.0399        26.2713
