smiles,S0_G4,Cv_G4,S0_Exp,Cv_Exp
Br,198.3893,20.7903,198.7,
BrBr,239.6588,27.6353,245.42399999999998,
BrC#C,216.4239,44.8692,254.0,
BrC#N,247.2095,38.0493,,38.686
BrC(Br)(Br)Br,359.2369,83.5711,358.0,
BrC(Br)Br,332.1755,63.2536,331.0,62.8
BrC(Br)C(Br)Br,410.9665,102.6829,400.0,99.3
BrC=C,275.5294,46.5637,276.0,47.2
BrCBr,294.0355,46.3963,293.0,46.9
BrCC=C,317.5693,69.4662,317.0,69.3
BrCCBr,333.6547,70.077,330.0,78.2
C,186.1383,27.0621,187.45499999999998,27.4
C#C,197.7864,37.4091,201.0,35.7
C#CC#C,242.5559,64.9388,250.0,65.4
C#CC#N,248.8562,54.9391,,56.3
C#CC=O,274.5168,55.437,,55.286
C#N,201.0399,26.2713,202.0,27.6
C/1=C/C=C\C=C/C=C1,326.0851,112.0464,327.0,114.8
C/C=C(/C)C(C)(C)C,420.5299,169.9574,,165.686
C/C=C(/C)C(C)C,410.905,146.1839,409.0,143.3
C/C=C(/C)C=C,355.9583,114.0843,372.0,116.4
C/C=C/C#C,311.8364,86.704,300.0,94.2
C/C=C/C#N,306.6233,77.4657,,76.686
C/C=C/C(C)(C)C,389.4713,146.824,,142.686
C/C=C/C(C)=C,353.2409,113.5069,365.0,116.8
C/C=C/C(C)C,367.541,122.7451,370.0,130.0
C/C=C/C(O)=O,341.3923,95.9718,354.0,95.3
C/C=C/C=C,324.868,91.0346,325.0,94.1
C/C=C/C=O,320.7385,82.4993,,85.7
C/C=C/CO,335.5901,94.2731,,91.5
C/C=C/Cl,297.5972,68.1814,300.0,63.8
C/C=C/F,285.8148,64.3196,298.0,60.1
C/C=N/O,286.3784,67.194,,64.686
C1=C/C=C\C=C/C=C1,326.0851,112.0464,326.8,114.286
C1=CC=C1,253.3568,56.1064,,52.686
C1=CCC=C1,273.8522,66.0978,274.47,
C1=CCCC=CCC1,346.9153,124.4645,,129.98600000000002
C1=CCCCC/C=C\1,348.6952,124.0963,,130.48600000000002
C1=CCCCCCC1,354.466,130.7782,,134.586
C1=CCOCC1,306.2534,84.3651,,86.286
C1=CCOCOC1,324.9608,97.1639,,109.386
C1=CCOOC1,296.0785,80.3108,,78.58600000000001
C1=COC=CO1,290.4474,73.767,,72.98599999999999
