Smiles                                                       G4_S0      Exp_S0     Dev       
Br                                                           198.39     198.70     -0.31     
BrBr                                                         239.66     245.42     -5.77     
BrC#C                                                        216.42     254.00     -37.58    
BrC(Br)(Br)Br                                                359.24     358.00     1.24      
BrC(Br)Br                                                    332.18     331.00     1.18      
BrC(Br)C(Br)Br                                               410.97     400.00     10.97     
BrC=C                                                        275.53     276.00     -0.47     
BrCBr                                                        294.04     293.00     1.04      
BrCC=C                                                       317.57     317.00     0.57      
BrCCBr                                                       333.65     330.00     3.65      
C                                                            186.14     187.46     -1.32     
C#C                                                          197.79     201.00     -3.21     
C#CC#C                                                       242.56     250.00     -7.44     
C#N                                                          201.04     202.00     -0.96     
C/1=C/C=C\C=C/C=C1                                           326.09     327.00     -0.91     
C/C=C(/C)C(C)C                                               410.90     409.00     1.90      
C/C=C(/C)C=C                                                 355.96     372.00     -16.04    
C/C=C/C#C                                                    311.84     300.00     11.84     
C/C=C/C(C)=C                                                 353.24     365.00     -11.76    
C/C=C/C(C)C                                                  367.54     370.00     -2.46     
C/C=C/C(O)=O                                                 341.39     354.00     -12.61    
C/C=C/C=C                                                    324.87     325.00     -0.13     
C/C=C/Cl                                                     297.60     300.00     -2.40     
C/C=C/F                                                      285.81     298.00     -12.19    
C1=C/C=C\C=C/C=C1                                            326.09     326.80     -0.71     
C1=CCC=C1                                                    273.85     274.47     -0.62     
C1C=CC=CC=C1                                                 316.49     316.00     0.49      
C1C=CCC=C1                                                   294.45     299.00     -4.55     
C1CC1                                                        237.34     238.00     -0.66     
C1CC=C1                                                      262.15     262.00     0.15      
C1CC=CC1                                                     291.46     291.00     0.46      
C1CC=CC=C1                                                   292.35     303.00     -10.65    
C1CC=CO1                                                     294.96     281.00     13.96     
C1CC=CS1                                                     299.09     304.00     -4.91     
C1CCC1                                                       264.48     265.00     -0.52     
C1CCC=CC1                                                    304.51     311.00     -6.49     
C1CCC=CCC1                                                   337.80     332.00     5.80      
C1CCCC1                                                      283.89     293.00     -9.11     
C1CCCCC1                                                     298.65     297.00     1.65      
C1CCCCCC1                                                    337.47     343.00     -5.53     
C1CCCCCCC1                                                   362.06     366.80     -4.74     
C1CCC\C=C/CC1                                                354.47     351.00     3.47      
C1CCNC1                                                      301.40     310.00     -8.60     
C1CCNCC1                                                     310.76     337.00     -26.24    
C1CCOC1                                                      298.76     299.00     -0.24     
C1CCOCOC1                                                    335.45     338.60     -3.15     
C1CCSC1                                                      301.18     310.00     -8.82     
C1CCSCC1                                                     324.37     323.00     1.37      
C1CN1                                                        249.93     251.00     -1.07     
C1CO1                                                        242.56     243.00     -0.44     
C1COC1                                                       273.71     265.00     8.71      
C1COCCO1                                                     299.42     300.00     -0.58     
C1COCOC1                                                     304.29     303.00     1.29      
C1CS1                                                        255.28     255.00     0.28      
C1CSCS1                                                      325.63     323.00     2.63      
C1CSCSC1                                                     335.08     334.00     1.08      
C1OCC=C1                                                     283.47     285.00     -1.53     
C1OCOCO1                                                     289.14     287.00     2.14      
C1OCOCOCO1                                                   345.66     345.60     0.06      
C1SCC=C1                                                     295.84     297.00     -1.16     
C=C                                                          219.01     219.00     0.01      
C=C=O                                                        241.44     246.00     -4.56     
C=CC#C                                                       277.90     280.00     -2.10     
C=CC(C)=O                                                    322.00     320.34     1.66      
C=CC=C                                                       285.19     279.00     6.19      
C=CC=O                                                       287.02     289.00     -1.98     
C=CCC#C                                                      319.26     307.00     12.26     
C=CCC=C                                                      335.70     334.00     1.70      
C=COC=C                                                      328.43     334.00     -5.57     
C=COC=O                                                      320.32     305.00     15.32     
C=O                                                          218.52     219.00     -0.48     
C=S                                                          230.74     211.00     19.74     
CBr                                                          245.95     245.00     0.95      
CC                                                           227.90     229.00     -1.10     
CC#C                                                         248.14     248.00     0.14      
CC#CC                                                        298.58     283.00     15.58     
CC#CC(C)(C)C                                                 384.72     380.00     4.72      
