Smiles                                                       TCIT_Cv    G4_Cv      Dev       
Brc1ccccc1                                                   91.49      90.58      0.91      
C/C=C/C=C/C                                                  113.47     113.41     0.05      
C/C=C/C=C\C                                                  113.47     113.41     0.05      
C=C1CC(=O)O1                                                 79.05      78.29      0.76      
C=C1CC1                                                      63.79      63.60      0.19      
C=C1CCC1                                                     78.14      78.86      -0.72     
C=C1CCCC1                                                    94.05      94.75      -0.70     
C=CC1CCC=CC1                                                 129.66     129.29     0.37      
C=CCCC=C                                                     113.66     113.67     -0.00     
C=Cc1ccccc1                                                  110.96     112.07     -1.11     
CC(=C)[C@@H]1CCC(=CC1)C                                      176.04     176.20     -0.16     
CC(=C)c1ccccc1                                               134.82     134.64     0.18      
CC(=O)c1ccccc1                                               125.76     126.85     -1.08     
CC(C)(C)OOC(C)(C)C                                           224.88     217.28     7.60      
CC(C)(C)SSC(C)(C)C                                           229.22     229.28     -0.06     
CC(C)(C)c1ccccc1                                             168.69     167.24     1.45      
CC(C)(O)c1ccccc1                                             163.66     163.56     0.10      
CC(C)C1CCCCC1                                                166.62     165.94     0.68      
CC(C)CC(=O)CC(C)C                                            205.71     205.65     0.05      
CC(C)CCC(C)C                                                 175.53     175.51     0.02      
CC(C)CCC=C                                                   144.59     144.23     0.36      
CC(C)CCSCCC(C)C                                              244.03     245.02     -0.99     
CC(C)Cc1ccccc1                                               165.64     165.26     0.38      
CC(C)c1ccc(C)c(O)c1                                          185.73     187.78     -2.04     
CC(C)c1ccc(C)cc1O                                            185.39     187.51     -2.12     
CC(C)c1ccccc1                                                143.32     143.18     0.14      
CC(C)c1ccccc1O                                               160.73     162.36     -1.63     
CC(OC(C)=O)OC(C)=O                                           168.67     174.64     -5.97     
CC/C=C(C)/CC                                                 144.70     144.72     -0.02     
CC/C=C/C(C)(C)C                                              168.84     168.84     0.00      
CC1(C)CC1                                                    96.03      93.99      2.05      
CC1(C)CCCC1                                                  127.82     127.27     0.55      
CC1(C)CCCCC1                                                 145.65     145.21     0.44      
CC1=CC(=O)OC1=O                                              102.85     103.28     -0.42     
CC1=CC1                                                      67.85      66.40      1.45      
CC1=CC=CC1                                                   91.90      90.94      0.96      
CC1=CCCC1                                                    96.37      96.74      -0.37     
CC1CC(C)C(C)C1                                               148.17     149.46     -1.30     
CC1CC(C)CC(C)C1                                              166.04     168.18     -2.14     
CC1CC1                                                       70.77      69.86      0.91      
CC1CC1(C)C                                                   117.44     117.49     -0.06     
CC1CC1C                                                      94.34      93.14      1.20      
CC1CC=CC1                                                    95.67      95.58      0.09      
CC1CC=CC1C                                                   119.36     119.31     0.05      
CC1CCC(=C1)C                                                 119.70     120.21     -0.51     
CC1CCC(C)CC1                                                 143.81     144.24     -0.43     
CC1CCC(O)CC1                                                 138.76     139.40     -0.64     
CC1CCC1                                                      86.01      85.78      0.23      
CC1CCC=C1                                                    96.13      95.70      0.44      
CC1CCC=C1C                                                   120.07     120.06     0.01      
CC1CCCC1                                                     102.42     102.52     -0.10     
CC1CCCCC1                                                    120.60     120.53     0.07      
CC1CCCCC1O                                                   138.91     139.31     -0.39     
CC1CCCO1                                                     95.97      95.80      0.16      
CC1CCCS1                                                     103.35     103.57     -0.21     
CC1CCC[C@@H](O)C1                                            138.35     138.52     -0.17     
CC1CN1                                                       64.38      65.90      -1.51     
CC1CO1                                                       62.38      62.65      -0.27     
CC1COC(=O)O1                                                 87.72      93.63      -5.90     
CC1C[C@H](C)[C@H](C)C1                                       148.49     149.46     -0.98     
CC1OC(C)OC(C)O1                                              147.46     148.86     -1.40     
CC1OCCO1                                                     81.32      88.78      -7.46     
CCC(=O)OC(=O)CC                                              159.68     159.85     -0.17     
CCC(C)C(C)CC                                                 175.84     175.93     -0.09     
CCC(C)CC(C)C                                                 175.56     175.67     -0.11     
CCC(C)OC(C)CC                                                192.84     192.71     0.13      
CCC/C=C/CCC                                                  166.15     165.70     0.45      
CCC1=CCCC1                                                   118.71     118.82     -0.11     
CCC1CCC1                                                     108.48     108.06     0.43      
CCC1CCCC1                                                    124.86     124.88     -0.01     
CCC1CCCCC1                                                   142.95     143.10     -0.16     
CCCC(=O)CC                                                   137.68     138.13     -0.45     
CCCC(C)(C)CC                                                 177.07     177.26     -0.18     
CCCC(C)C(C)C                                                 175.62     175.71     -0.09     
CCCC(C)CCC                                                   175.18     175.30     -0.12     
CCCC(CC)CC                                                   174.91     174.78     0.13      
CCCC1CCCC1                                                   147.22     146.92     0.31      
CCCC1CCCCC1                                                  165.31     165.47     -0.17     
CCCCC#N                                                      107.78     107.82     -0.04     
CCCCC(=O)CCCC                                                204.09     205.11     -1.02     
CCCCC(=O)OC                                                  150.73     150.76     -0.03     
CCCCC(C)(C)C                                                 177.20     177.24     -0.04     
CCCCC(C)=O                                                   137.75     137.77     -0.02     
CCCCC(C)C                                                    152.67     152.71     -0.04     
CCCCC(C)CC                                                   175.13     175.22     -0.09     
CCCCC(C)CCCC                                                 219.80     219.96     -0.15     
CCCCC(CC)C=O                                                 182.18     182.20     -0.02     
CCCCC(CC)CO                                                  191.46     191.87     -0.41     
CCCCC(O)=O                                                   127.02     127.06     -0.04     
CCCCC1CCCCC1                                                 187.61     187.74     -0.12     
CCCCC=C                                                      121.74     121.75     -0.01     
CCCCC=O                                                      113.87     113.90     -0.03     
CCCCCBr                                                      121.90     122.26     -0.36     
CCCCCC                                                       129.82     129.78     0.04      
CCCCCC(=O)OC                                                 173.04     173.67     -0.63     
CCCCCC(C)C                                                   174.98     175.04     -0.05     
CCCCCC(O)=O                                                  149.33     149.94     -0.62     
CCCCCC=C                                                     144.05     144.10     -0.05     
CCCCCCBr                                                     144.21     144.60     -0.39     
CCCCCCC                                                      152.13     152.13     -0.00     
CCCCCCC(O)=O                                                 171.64     172.28     -0.64     
CCCCCCC=C                                                    166.36     166.41     -0.05     
CCCCCCC=O                                                    158.49     158.24     0.25      
CCCCCCCC                                                     174.44     174.46     -0.02     
CCCCCCCC(=O)OC                                               217.66     218.35     -0.69     
CCCCCCCC(C)=O                                                204.68     205.29     -0.61     
CCCCCCCC(C)C                                                 219.60     219.69     -0.08     
CCCCCCCC(O)=O                                                193.95     194.62     -0.67     
