Smiles                                                       TCIT_Gf    G4_Gf      Dev       
Brc1ccccc1                                                   128.66     133.78     -5.12     
C/C=C/C=C/C                                                  142.35     146.51     -4.16     
C/C=C/C=C\C                                                  142.35     146.51     -4.16     
C=C1CC(=O)O1                                                 -134.31    -137.80    3.48      
C=C1CC1                                                      226.99     235.76     -8.77     
C=C1CCC1                                                     193.02     197.37     -4.36     
C=C1CCCC1                                                    129.45     123.36     6.09      
C=CC1CCC=CC1                                                 209.32     207.83     1.49      
C=CCCC=C                                                     175.57     176.61     -1.05     
C=Cc1ccccc1                                                  217.59     211.07     6.52      
CC(=C)[C@@H]1CCC(=CC1)C                                      194.12     198.05     -3.93     
CC(=C)c1ccccc1                                               213.65     212.59     1.06      
CC(=O)c1ccccc1                                               3.22       3.73       -0.51     
CC(C)(C)OOC(C)(C)C                                           -72.06     -65.85     -6.21     
CC(C)(C)SSC(C)(C)C                                           10.75      20.83      -10.08    
CC(C)(C)c1ccccc1                                             140.44     140.77     -0.33     
CC(C)(O)c1ccccc1                                             -8.20      -15.35     7.15      
CC(C)C1CCCCC1                                                50.92      47.48      3.44      
CC(C)CC(=O)CC(C)C                                            -111.67    -115.41    3.74      
CC(C)CCC(C)C                                                 6.90       9.13       -2.22     
CC(C)CCC=C                                                   91.24      91.59      -0.35     
CC(C)CCSCCC(C)C                                              54.81      53.39      1.42      
CC(C)Cc1ccccc1                                               138.12     136.24     1.88      
CC(C)c1ccc(C)c(O)c1                                          -34.31     -22.75     -11.56    
CC(C)c1ccc(C)cc1O                                            -24.58     -22.91     -1.67     
CC(C)c1ccccc1                                                136.95     133.03     3.92      
CC(C)c1ccccc1O                                               -14.03     -13.63     -0.40     
CC(OC(C)=O)OC(C)=O                                           -675.57    -648.68    -26.89    
CC/C=C(C)/CC                                                 81.62      82.35      -0.73     
CC/C=C/C(C)(C)C                                              84.40      84.59      -0.19     
CC1(C)CC1                                                    99.40      101.72     -2.32     
CC1(C)CCCC1                                                  49.13      39.92      9.21      
CC1(C)CCCCC1                                                 37.83      32.30      5.53      
CC1=CC(=O)OC1=O                                              -379.47    -377.35    -2.12     
CC1=CC1                                                      279.95     278.89     1.06      
CC1=CC=CC1                                                   162.31     171.65     -9.34     
CC1=CCCC1                                                    105.77     106.75     -0.98     
CC1CC(C)C(C)C1                                               52.76      43.20      9.56      
CC1CC(C)CC(C)C1                                              37.59      28.71      8.88      
CC1CC1                                                       103.51     103.16     0.35      
CC1CC1(C)C                                                   105.79     106.51     -0.72     
CC1CC1C                                                      106.78     107.06     -0.28     
CC1CC=CC1                                                    126.46     117.51     8.95      
CC1CC=CC1C                                                   121.71     119.61     2.10      
CC1CCC(=C1)C                                                 112.21     109.21     3.00      
CC1CCC(C)CC1                                                 37.39      31.33      6.07      
CC1CCC(O)CC1                                                 -116.66    -115.24    -1.42     
CC1CCC1                                                      110.07     107.19     2.88      
CC1CCC=C1                                                    120.48     117.15     3.34      
CC1CCC=C1C                                                   108.70     109.07     -0.37     
CC1CCCC1                                                     47.48      37.95      9.53      
CC1CCCCC1                                                    36.88      29.36      7.52      
CC1CCCCC1O                                                   -104.39    -114.17    9.79      
CC1CCCO1                                                     -87.45     -88.11     0.66      
CC1CCCS1                                                     46.62      46.93      -0.32     
CC1CCC[C@@H](O)C1                                            -112.02    -115.03    3.01      
CC1CN1                                                       178.03     176.78     1.25      
CC1CO1                                                       -26.47     -26.36     -0.11     
CC1COC(=O)O1                                                 -432.97    -439.73    6.76      
CC1C[C@H](C)[C@H](C)C1                                       49.89      43.20      6.69      
CC1OC(C)OC(C)O1                                              -408.66    -404.84    -3.82     
CC1OCCO1                                                     -221.31    -223.39    2.08      
CCC(=O)OC(=O)CC                                              -460.91    -463.93    3.02      
CCC(C)C(C)CC                                                 15.06      18.04      -2.99     
CCC(C)CC(C)C                                                 11.14      9.50       1.64      
CCC(C)OC(C)CC                                                -110.65    -115.16    4.51      
CCC/C=C/CCC                                                  95.44      94.83      0.61      
CCC1=CCCC1                                                   116.26     116.29     -0.03     
CCC1CCC1                                                     119.22     114.44     4.79      
CCC1CCCC1                                                    57.85      46.83      11.01     
CCC1CCCCC1                                                   46.82      39.89      6.93      
CCCC(=O)CC                                                   -130.27    -133.35    3.09      
CCCC(C)(C)CC                                                 8.71       7.77       0.94      
CCCC(C)C(C)C                                                 14.26      13.76      0.50      
CCCC(C)CCC                                                   14.24      13.04      1.21      
CCCC(CC)CC                                                   18.71      16.97      1.74      
CCCC1CCCC1                                                   65.68      53.35      12.33     
CCCC1CCCCC1                                                  54.66      46.55      8.11      
CCCCC#N                                                      114.58     115.13     -0.55     
CCCCC(=O)CCCC                                                -106.15    -110.18    4.03      
CCCCC(=O)OC                                                  -304.00    -303.55    -0.45     
CCCCC(C)(C)C                                                 3.40       3.48       -0.08     
CCCCC(C)=O                                                   -130.59    -130.76    0.17      
CCCCC(C)C                                                    3.62       3.51       0.11      
CCCCC(C)CC                                                   13.89      12.63      1.26      
CCCCC(C)CCCC                                                 29.21      26.79      2.42      
CCCCC(CC)C=O                                                 -87.01     -89.07     2.06      
CCCCC(CC)CO                                                  -113.76    -119.07    5.31      
CCCCC(O)=O                                                   -349.67    -350.20    0.52      
CCCCC1CCCCC1                                                 62.14      53.42      8.72      
CCCCC=C                                                      87.96      87.49      0.46      
CCCCC=O                                                      -108.28    -108.16    -0.11     
CCCCCBr                                                      -2.82      -3.88      1.06      
CCCCCC                                                       0.34       0.27       0.07      
CCCCCC(=O)OC                                                 -296.51    -296.48    -0.03     
CCCCCC(C)C                                                   11.11      9.94       1.17      
CCCCCC(O)=O                                                  -342.19    -343.07    0.88      
CCCCCC=C                                                     95.44      94.43      1.01      
CCCCCCBr                                                     4.66       3.27       1.39      
CCCCCCC                                                      7.83       7.53       0.30      
CCCCCCC(O)=O                                                 -334.70    -336.04    1.34      
CCCCCCC=C                                                    102.92     102.52     0.40      
CCCCCCC=O                                                    -93.31     -93.15     -0.15     
CCCCCCCC                                                     15.31      13.44      1.88      
CCCCCCCC(=O)OC                                               -281.54    -282.20    0.66      
CCCCCCCC(C)=O                                                -108.14    -108.71    0.57      
CCCCCCCC(C)C                                                 26.08      24.81      1.27      
CCCCCCCC(O)=O                                                -327.22    -327.60    0.38      
CCCCCCCCBr                                                   19.63      17.79      1.85      
CCCCCCCCC                                                    22.80      22.66      0.13      
CCCCCCCCC(O)=O                                               -319.74    -319.95    0.22      
CCCCCCCCCC                                                   30.28      27.91      2.37      
CCCCCCCCCCC                                                  37.77      36.23      1.54      
CCCCCCCCCCCC                                                 45.25      44.75      0.50      
CCCCCCCCCCO                                                  -102.14    -102.34    0.20      
CCCCCCCCCO                                                   -109.63    -109.47    -0.15     
