Smiles                                                       TCIT_S0    G4_S0      Dev       
Brc1ccccc1                                                   334.87     325.92     8.95      
C/C=C/C=C/C                                                  364.54     352.76     11.78     
C/C=C/C=C\C                                                  364.54     352.76     11.78     
C=C1CC(=O)O1                                                 307.92     304.77     3.14      
C=C1CC1                                                      265.46     269.78     -4.31     
C=C1CCC1                                                     288.25     300.45     -12.20    
C=C1CCCC1                                                    294.39     315.13     -20.74    
C=CC1CCC=CC1                                                 366.67     369.32     -2.64     
C=CCCC=C                                                     381.94     376.96     4.97      
C=Cc1ccccc1                                                  350.37     355.47     -5.10     
CC(=C)[C@@H]1CCC(=CC1)C                                      429.48     431.02     -1.54     
CC(=C)c1ccccc1                                               379.98     378.53     1.45      
CC(=O)c1ccccc1                                               377.09     374.63     2.45      
CC(C)(C)OOC(C)(C)C                                           520.47     489.43     31.04     
CC(C)(C)SSC(C)(C)C                                           522.35     505.66     16.69     
CC(C)(C)c1ccccc1                                             408.12     408.27     -0.16     
CC(C)(O)c1ccccc1                                             411.19     409.21     1.98      
CC(C)C1CCCCC1                                                399.88     410.49     -10.61    
CC(C)CC(=O)CC(C)C                                            503.20     510.38     -7.17     
CC(C)CCC(C)C                                                 459.15     445.60     13.55     
CC(C)CCC=C                                                   420.54     414.18     6.36      
CC(C)CCSCCC(C)C                                              581.68     585.43     -3.75     
CC(C)Cc1ccccc1                                               434.46     429.54     4.92      
CC(C)c1ccc(C)c(O)c1                                          449.26     447.39     1.88      
CC(C)c1ccc(C)cc1O                                            454.84     455.88     -1.04     
CC(C)c1ccccc1                                                390.21     391.02     -0.81     
CC(C)c1ccccc1O                                               410.00     406.73     3.27      
CC(OC(C)=O)OC(C)=O                                           479.75     493.12     -13.38    
CC/C=C(C)/CC                                                 416.01     413.66     2.35      
CC/C=C/C(C)(C)C                                              434.95     430.26     4.69      
CC1(C)CC1                                                    311.28     305.24     6.04      
CC1(C)CCCC1                                                  327.44     356.98     -29.54    
CC1(C)CCCCC1                                                 343.90     365.52     -21.62    
