smiles,S0_TCIT,Cv_TCIT,Cv_Exp,S0_Exp,S0_G4,Cv_G4
CCNc1ccccc1,396.524933240043,139.50190794017314,138.9,352.0,396.86454515786215,142.3390560906421
CSc1ccccc1,381.5114370381997,123.64810385012679,116.4,428.0,374.2546247792942,122.05478833167369
CCN1CCOCC1,375.763515893359,131.89548598602948,,294.0,375.2732280361163,131.95412140280996
CCO[S](=O)(=O)OCC,464.6424775947048,164.78252361865395,129.7,419.0,472.1596364108014,164.56495585884875
CCOC(=O)C(=O)OCC,487.39747119319173,170.0839039187301,157.1,528.0,487.3847080826423,164.70328585893242
CCCCCCCCCl,523.4760215224723,187.01679137762233,194.0,455.0,518.1138905717849,187.13394324828664
CCCCCCCCCCC#N,617.5955833744761,241.6393673798984,249.6,566.0,,
CCCCCCCCCCCC#N,659.4619800339741,263.9486889032074,272.3,605.0,,
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,1253.2888330881417,613.7132281143626,563.686,,,
CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,1085.8232464501493,524.4759420211265,472.686,,,
CCCCOC(=O)c1ccccc1C(=O)OCCCC,767.3044644948849,344.91404734065804,296.686,,,
CCOC(=O)c1ccccc1C(=O)OCC,606.0515252381298,256.52192831435747,202.686,,,
CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCC,1353.434017727858,657.2445486669847,613.686,,,
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,934.770051132877,434.1513334338943,389.686,,,
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,1102.2356377708695,523.3886195271305,473.686,,,
CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,1018.5028444518732,478.7699764805124,435.686,,,
CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,1169.5560397691456,569.0945850677446,519.686,,,
CCCOC(=O)c1ccccc1C(=O)OCCC,686.279385626572,300.4376601369896,251.686,,,
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,741.471138134877,347.02226470758615,295.686,,,
COC(=O)c1ccc(cc1)C(=O)OC,519.1645059899757,207.28203645342222,158.686,,,
CCCCCCCCOC(=O)c1ccc(cc1)C(=O)OCCCCCCCC,1095.891115363799,519.4870179183229,476.686,,,
Cc1ccc(Cl)cc1,389.327,114.3676,342.0,113.1,369.39209823184353,114.35179468297868
C[C@@H]1CC[C@H]1C,328.3979,109.8014,382.0,110.3,330.7649656912379,109.52764800883661
OC1CCCC1,311.713,96.997,363.0,96.8,326.8065115520113,96.41500648519285
CCO[S](=O)(=O)OCC,464.6425,164.7825,,129.7,472.1596364108014,164.56495585884875
